Age;dx
0;306
1;20
2;11
3;10
4;10
5;6
6;7
7;7
8;8
9;6
10;6
11;6
12;7
13;9
14;10
15;11
16;17
17;19
18;23
19;30
20;29
21;29
22;29
23;32
24;30
25;32
26;32
27;32
28;32
29;37
30;40
31;43
32;45
33;51
34;54
35;63
36;68
37;78
38;78
39;91
40;95
41;108
42;109
43;126
44;137
45;144
46;157
47;169
48;207
49;228
50;245
51;270
52;291
53;332
54;372
55;419
56;456
57;494
58;564
59;617
60;678
61;744
62;809
63;888
64;952
65;1043
66;1100
67;1166
68;1281
69;1377
70;1439
71;1551
72;1642
73;1768
74;1833
75;2035
76;2184
77;2242
78;2451
79;2530
80;2858
81;3010
82;3204
83;3500
84;3722
85;4087
86;4102
87;4311
88;4329
89;4296
90;4160
91;3890
92;3554
93;3118
94;2690
95;2229
96;1794
97;1389
98;1032
99;734
100;499
101;324
102;200
103;118
104;67
105;36
106;18
107;9
108;4
109;2
110;1
